姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
胡适,通信 / 见面 / 学术 / 学术行政 / 诗文出处 / 公共论战 / 历史类比引用,通信,99,470,470,1,26,李敖秘密书房(470),朋友、大学、像、思想、共产党、先生、教授、学生
李登辉,政治人物 / 公职人员 / 公共论战 / 选举助选 / 财产债务 / 历史类比引用,政治人物,99,447,447,1,53,李敖秘密书房(447),国民党、总统、像、主席、民进党、见、政治、共产党
陈水扁,政治人物 / 律师代理 / 人权救援 / 通信 / 公共论战,政治人物,99,311,311,1,46,李敖秘密书房(311),国民党、总统、像、市长、民进党、政治、选举、见
蒋介石,政治人物 / 公共论战 / 历史类比引用,政治人物,99,306,306,1,52,李敖秘密书房(306),国民党、像、教授、政府、朋友、见、党部、总统
冯翊纲,文艺音乐 / 媒体 / 见面 / 诗文出处,文艺音乐,99,291,291,1,1,李敖秘密书房(291),冯翊纲：、像、妈妈、朋友、节目、见、爸爸、一起
黄珊珊,律师代理 / 政治人物 / 见面 / 公共论战,律师代理,99,271,271,1,2,李敖秘密书房(271),黄珊珊：、律师、像、法官、警察、政府、碰到、诗
宋楚瑜,政治人物 / 党务宣传 / 见面 / 公共论战 / 选举助选,政治人物,99,248,248,1,43,李敖秘密书房(248),国民党、像、总统、政治、主席、见、党部、选举
李远哲,学术 / 学术行政 / 创作资料协助 / 公共论战,学术,99,210,210,1,24,李敖秘密书房(210),研究、中央研究院、像、总统、院长、见、国民党、选举
马英九,政治人物 / 公共论战 / 选举助选,政治人物,99,209,209,1,25,李敖秘密书房(209),市长、国民党、政治、像、选举、政府、一起、部长
李昂,诗文出处 / 出版 / 朋友 / 公共论战 / 历史类比引用,诗文出处,99,205,205,1,2,李敖秘密书房(205),像、政治、一起、总统、见、共产党、国民党、结婚
郝广才,出版 / 诗文出处 / 媒体 / 见面 / 公共论战,出版,99,190,190,1,4,李敖秘密书房(190),郝广才：、像、政治、总统、见、文学、出版、朋友
连战,政治人物 / 公共论战 / 选举助选,政治人物,99,183,183,1,38,李敖秘密书房(183),国民党、像、朋友、总统、选举、政治、党部、主席
施寄青,诗文出处 / 人权救援 / 朋友 / 见面 / 公共论战,诗文出处,99,171,171,1,4,李敖秘密书房(171),像、朋友、老师、总统、节目、见、家里、宣传
尹章义,学术 / 朋友 / 见面 / 创作资料协助 / 公共论战,学术,99,160,160,1,4,李敖秘密书房(160),国民党、像、母亲、朋友、民进党、太太、政治、研究
柯俊雄,媒体 / 文艺音乐 / 政治人物 / 见面 / 公共论战,媒体,99,158,158,1,3,李敖秘密书房(158),像、朋友、导演、一起、碰到、见、同学、同班
陶传正,媒体 / 文艺音乐 / 见面 / 公共论战,媒体,99,157,157,1,1,李敖秘密书房(157),陶传正：、像、找我、电视、所谓、告诉我、妹妹、太太
鲁迅,诗文出处 / 学术 / 历史类比引用 / 神交引用 / 公共论战,诗文出处,99,157,157,1,11,李敖秘密书房(157),文学、政治、像、共产党、大学、老师、思想、一起
胡茵梦,情感 / 姻亲 / 财产信托 / 诉讼 / 媒体 / 出版,情感,99,146,146,1,26,李敖秘密书房(146),妻、像、朋友、结婚、妈妈、一起、见、离婚
公孙策,媒体 / 诗文出处 / 见面 / 公共论战,媒体,99,144,144,1,2,李敖秘密书房(144),公孙策：、国民党、政府、像、总统、所谓、见、民进党
蔡敏,文艺音乐 / 学术 / 见面,文艺音乐,99,133,133,1,1,李敖秘密书房(133),蔡敏：、像、大学、学生、见、教书、节目、批评
戴高乐,政治人物 / 军事人物 / 神交引用,政治人物,99,118,118,1,3,李敖秘密书房(118),将军、总统、政府、政治、像、出版社、出版、部长
陈文茜,媒体 / 政治人物 / 通信 / 朋友 / 见面 / 公共论战,媒体,99,117,117,1,13,李敖秘密书房(117),像、一起、政治、见、总统、诗、结婚、问我
孙中山,政治人物 / 公共论战 / 历史类比引用,政治人物,99,115,115,1,26,李敖秘密书房(115),像、国民党、见、思想、政府、主义、出版、宣传
陈敏明,媒体 / 文艺音乐 / 见面 / 创作资料协助,媒体,99,101,101,1,1,李敖秘密书房(101),像、教授、台大、结婚、认识、土地、朋友、读
林正丰,创作资料协助 / 见面 / 公共论战,创作资料协助,99,93,93,1,1,李敖秘密书房(93),林正丰：、总统、院长、民进党、像、朋友、学生、政治
林瑞图,政治人物 / 选举助选 / 通信 / 公共论战,政治人物,99,92,92,1,6,李敖秘密书房(92),起诉、委员、老师、检察官、朋友、法官、法院、节目
吕秀莲,政治人物 / 公共论战 / 选举助选,政治人物,99,82,82,1,14,李敖秘密书房(82),像、总统、县长、刑求、政治、见、编辑、国民党
李嗣涔,学术 / 学术行政 / 科学家 / 学术考证引用 / 见面 / 公共论战,学术,99,81,81,1,2,李敖秘密书房(81),像、研究、教授、所谓、朋友、古代、学术、台大
康有为,学术 / 政治人物 / 出版 / 主剧情人物 / 小说剧本人物 / 历史类比引用 / 神交引用,学术,99,77,77,1,10,李敖秘密书房(77),见、像、诗、共产党、老师、政治、书店、文星
殷乃平,学术 / 财产债务 / 创作资料协助 / 见面 / 公共论战,学术,99,71,71,1,2,李敖秘密书房(71),政府、像、国民党、总统、信托、见、大学、财产
上帝,宗教人物 / 神交引用,宗教人物,99,67,67,1,23,李敖秘密书房(67),像、见、所谓、朋友、见到、古代、妈妈、太太
郁慕明,政治人物 / 诉讼 / 朋友 / 公共论战 / 见面,政治人物,99,67,67,1,4,李敖秘密书房(67),朋友、选举、像、委员、政治、总统、国民党、所谓
张爱玲,诗文出处 / 文艺音乐 / 历史类比引用 / 神交引用,诗文出处,99,59,59,1,3,李敖秘密书房(59),像、出版、文学、序、交往、研究、所谓、宣传
徐志摩,诗文出处 / 历史类比引用 / 神交引用,诗文出处,99,59,59,1,3,李敖秘密书房(59),像、离婚、诗、一起、情书、见、父亲、学生
耶稣,宗教人物 / 历史类比引用 / 神交引用,宗教人物,99,58,58,1,22,李敖秘密书房(58),像、所谓、儿子、碰到、见、出版、法庭、特务
蒋经国,政治人物 / 公共论战 / 历史类比引用,政治人物,99,56,56,1,26,李敖秘密书房(56),像、国民党、儿子、总统、主席、请他、院长、秘书
谭嗣同,政治异议者 / 学术 / 历史类比引用 / 神交引用,政治异议者,99,52,52,1,8,李敖秘密书房(52),像、政府、朋友、爸爸、同在、文学、报导、政治
孔子,诗文出处 / 学术 / 历史类比引用 / 神交引用,诗文出处,99,50,50,1,17,李敖秘密书房(50),学生、像、思想、教授、古代、太太、离婚、书里
陈查某,财产债务 / 公款经费 / 公共论战,财产债务,99,50,50,1,4,李敖秘密书房(50),儿子、女儿、老师、法官、像、父亲、总统、嫁给
刘家昌,媒体 / 文艺音乐 / 情感 / 公共论战 / 见面,媒体,99,49,49,1,10,李敖秘密书房(49),导演、朋友、像、访问、问我、国民党、儿子、同学
李庆华,政治人物 / 公共论战,政治人物,99,43,43,1,13,李敖秘密书房(43),主席、记者、像、选举、法官、总统、见、国民党
丁乃竺,神交引用 / 见面,待复核,99,41,25,1,3,李敖秘密书房(41),像、见、朋友、爸爸、委员、电视、一起、选举
李十力,主剧情人物 / 小说剧本人物 / 虚拟人物 / 宗教人物 / 学术 / 政治异议者,主剧情人物,99,40,40,1,2,李敖秘密书房(40),一起、共产党、见、哥哥、见面、认识、碰到、教授
梁启超,学术 / 政治人物 / 诗文出处 / 历史类比引用 / 神交引用,学术,99,40,40,1,15,李敖秘密书房(40),诗、像、见、老师、学生、政府、哲学、文学
许信良,政治人物 / 政治异议者 / 公共论战 / 选举助选,政治人物,99,40,40,1,14,李敖秘密书房(40),主席、政治、像、委员、夫人、上诉、请我、总统
曹操,政治人物 / 军事人物 / 诗文出处 / 历史类比引用 / 公共论战,政治人物,99,39,39,1,5,李敖秘密书房(39),像、研究、节目、女儿、主义、将军、见、教授
