姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
萧孟能,出版 / 出版管制 / 财产债务,出版,99,259,259,1,7,李敖闹衙集(259),债务、支票、证人、见、产权、债权、土地、致函
萧同兹,出版 / 出版管制 / 政治人物,出版,99,72,72,1,4,李敖闹衙集(72),债务、证人、先生、书中、政府、产权、房地、支票
朱婉坚,出版 / 财产债务 / 诉讼,出版,99,44,44,1,7,李敖闹衙集(44),债务、证人、女士、所谓、见、支票、土地、权状
利息,财产债务,财产债务,99,26,22,1,7,李敖闹衙集(26),债务、债权、存款、所谓、见、土地、房地、还钱
江鹏坚,政治人物 / 政治异议者 / 律师代理 / 人权救援 / 选举助选 / 公共论战 / 见面,政治人物,99,26,26,1,1,李敖闹衙集(26),立委、委员、回信、本院、秘书、寄给、法院、到我家
陈苾仙,财产债务 / 诉讼 / 公款经费 / 公共论战,财产债务,99,22,22,1,1,李敖闹衙集(22),委员、女士、房地、秘书、本院、所谓、政府、总统
叶公超,学术 / 出版 / 见面,学术,99,21,21,1,1,李敖闹衙集(21),委员、总统、先生、公款、回信、公帑、国民党、本院
蒋介石,政治人物 / 公共论战 / 历史类比引用,政治人物,99,19,19,1,1,李敖闹衙集(19),研究、出版、警察、总统、查禁、出版品、见、著作
陈子和,财产债务 / 诉讼 / 证人见证,财产债务,99,18,18,1,2,李敖闹衙集(18),先生、致函、债务、房地、房产、土地
刘会云,财产债务 / 诉讼 / 创作资料协助,财产债务,99,15,15,1,1,李敖闹衙集(15),公款、贵院、女士、法院、委员、寄给、回信、立委
吴祺芳,公职人员 / 财产债务 / 公款经费 / 公共论战,公职人员,99,14,14,1,1,李敖闹衙集(14),秘书、国民党、院长、立委、本院、事务、院内
邵玉铭,公职人员 / 媒体 / 公共论战,公职人员,99,13,13,1,3,李敖闹衙集(13),警察、出版、国民党、查禁、研究、出版品、发行、著作
萧广仁,财产债务 / 诉讼,财产债务,99,12,12,1,3,李敖闹衙集(12),权状、土地、债务、序、见、律师、支票、产权
黄盛泉,财产债务 / 财产信托,财产债务,99,11,8,1,2,李敖闹衙集(11),支票、权状、土地、见、上校、先生、律师、序
蒋经国,政治人物 / 公共论战 / 历史类比引用,政治人物,99,10,10,1,3,李敖闹衙集(10),研究、总统、出版、院长、查禁、见、出版品、发行
罗斯福,政治人物 / 军事人物 / 历史类比引用 / 公共论战,政治人物,99,9,9,1,1,李敖闹衙集(9),警察、政府、查禁、上诉、见、电话、司令、著作
赵庆云,财产债务,财产债务,99,9,7,1,2,李敖闹衙集(9),房产、债务、支票、女士、同案、见
徐进业,财产债务 / 社会案件 / 诉讼,财产债务,99,8,8,1,2,李敖闹衙集(8),债务、先生、见
于行政,政治人物,政治人物,99,6,6,1,2,李敖闹衙集(6),出版、上诉、查禁、院长、事务、秘书、记者、委员
利息之,通信 / 财产债务,通信,99,6,4,1,2,李敖闹衙集(6),致函、债务
龙云翔,律师代理 / 诉讼 / 创作资料协助,律师代理,99,5,5,1,3,李敖闹衙集(5),律师、代理、政府
吴越潮,政治人物 / 公职人员 / 财产债务 / 创作资料协助 / 见面,政治人物,99,4,4,1,3,李敖闹衙集(4),法院、委员、院长、部长
时该行,财产债务,财产债务,99,4,4,1,1,李敖闹衙集(4),财产、致函、土地、产权
时贵行,财产债务,财产债务,99,4,4,1,1,李敖闹衙集(4),财产、致函、土地、产权
苏荣泉,出版 / 创作资料协助 / 公共论战,出版,99,4,4,1,1,李敖闹衙集(4),先生、出版社、出版、书店、文星、政府、警察、妻
金衙,政治人物,政治人物,99,3,3,1,3,李敖闹衙集(3),部长、政府、院长
陈良榘,律师代理 / 同案狱友 / 朋友,律师代理,99,3,3,1,2,李敖闹衙集(3),律师
查核,财产债务 / 见面,财产债务,98,5,4,1,2,李敖闹衙集(5),土地、见、诉状、所谓
孟能之,财产债务 / 见面,财产债务,98,4,4,1,2,李敖闹衙集(4),支票、见、所谓
金等,财产债务,财产债务,97,3,3,1,3,李敖闹衙集(3),产权、支票
吴褀芳,学术行政,学术行政,95,8,6,1,1,李敖闹衙集(8),院长、秘书、见、记者、事务、院内
通例,政治人物 / 财产债务,待复核,95,7,5,1,3,李敖闹衙集(7),政府、见、债权、委员、院长
管欧著,见面,见面,94,4,4,1,1,李敖闹衙集(4),见、著作、法院、出版、上诉、所谓
唐家宜,财产债务 / 诉讼 / 证人见证,财产债务,94,3,3,1,1,李敖闹衙集(3),本院、代理、先生、房地、到我家、我家来、回信
孙德耕,诗文出处 / 司法人员 / 学术 / 出版管制,诗文出处,94,3,3,1,3,李敖闹衙集(3),见、财产
查禁无,党务宣传,党务宣传,94,2,2,1,1,李敖闹衙集(2),警察、查禁、诉状、政府、国民党、法官
元官司,政治人物,政治人物,92,2,2,1,2,李敖闹衙集(2),政府
赵琛著,财产债务,财产债务,91,3,3,1,3,李敖闹衙集(3),债务、债权、见
王聪琰,公职人员 / 出版管制 / 诉讼,公职人员,89,7,7,1,1,李敖闹衙集(7),警察、问我、出版品、出版、节目、政府、发行、所谓
萧近仁,财产债务 / 诉讼,财产债务,89,7,7,1,3,李敖闹衙集(7),土地、权状、证人、律师、序
叶肇模,财产债务 / 诉讼,财产债务,89,5,5,1,5,李敖闹衙集(5),房产、债务、证人、律师
孙运璿,政治人物 / 公职人员 / 公共论战,政治人物,89,3,3,1,1,李敖闹衙集(3),院长、秘书、事务、见
方证明,律师代理,律师代理,86,2,2,1,1,李敖闹衙集(2),律师
吴三连,媒体 / 政治人物 / 诉讼 / 公共论战,媒体,85,3,3,1,1,李敖闹衙集(3),发行、国民党、见、杂志、出版
王章清,公共论战 / 财产债务,公共论战,84,3,3,1,1,李敖闹衙集(3),秘书、院长、事务、院内
吴相湘,学术 / 编辑 / 诗文出处 / 出版 / 公共论战,学术,84,2,2,1,2,李敖闹衙集(2),教授、主义
查明实,学术行政,学术行政,82,3,3,1,1,李敖闹衙集(3),贵院、公款
解决水,财产债务,财产债务,82,3,3,1,3,李敖闹衙集(3),产权、财产
陈介摩,军事人物,军事人物,80,2,2,1,1,李敖闹衙集(2),上校、土地、支票
国泰人,政治人物,政治人物,79,5,3,1,1,李敖闹衙集(5),部长、见
台端按,财产债务,财产债务,78,2,2,1,2,李敖闹衙集(2),房地、产权、存款
郑玉波,学术 / 诗文出处 / 司法人员 / 神交引用,学术,77,7,7,1,2,李敖闹衙集(7),所谓、见
高玉树,政治人物 / 政治异议者,政治人物,76,3,3,1,3,李敖闹衙集(3),市长、政府
萧家债,财产债务,财产债务,76,2,2,1,2,李敖闹衙集(2),房产、债务
台端莅,财产债务,财产债务,74,2,2,1,2,李敖闹衙集(2),债务
孙中山,政治人物 / 公共论战 / 历史类比引用,政治人物,74,2,2,1,2,李敖闹衙集(2),情治、警察、查禁、研究、书中
方式予,财产债务,财产债务,74,2,2,1,1,李敖闹衙集(2),土地
时完成,财产债务,财产债务,74,2,2,1,1,李敖闹衙集(2),土地、法院
汪慧云,律师代理,律师代理,74,2,2,1,2,李敖闹衙集(2),律师、女士
黄武弘,见面,见面,74,2,2,1,2,李敖闹衙集(2),见、见到、事务、先生
黄陈二,见面,见面,74,2,2,1,2,李敖闹衙集(2),见、见到、先生
左潞生,见面,见面,72,2,2,1,2,李敖闹衙集(2),见
杨冠洲,证人见证,证人见证,72,2,2,1,2,李敖闹衙集(2),证人、先生
林振国,政治人物 / 通信,政治人物,72,2,2,1,1,李敖闹衙集(2),部长
潘君密,创作资料协助 / 出版 / 朋友,创作资料协助,70,3,3,1,1,李敖闹衙集(3),秘书、代理
查处径,财产债务,财产债务,70,2,2,1,1,李敖闹衙集(2),债务、证人、所谓
俞国华,政治人物 / 公共论战,政治人物,69,2,2,1,1,李敖闹衙集(2),院长、见、事务、秘书、院内
吴棋芳,监狱行政,监狱行政,68,4,2,1,1,李敖闹衙集(4),秘书、国民党
蔡万霖,财产债务 / 公共论战,财产债务,68,3,3,1,1,李敖闹衙集(3),部长
台端,政治人物,政治人物,68,2,2,1,2,李敖闹衙集(2),部长、政治、院长、法院、市长
时另函,神交引用,神交引用,66,2,2,1,2,李敖闹衙集(2),所谓
陈冲,政治人物,政治人物,66,2,2,1,1,李敖闹衙集(2),部长
苏南成,政治人物 / 公职人员 / 公共论战,政治人物,63,2,2,1,1,李敖闹衙集(2),去函、市长、国民党、查禁、发行、律师、代理、政府
周其新,财产债务 / 诉讼 / 财产信托 / 证人见证,财产债务,62,2,2,1,1,李敖闹衙集(2),
张任飞,财产债务,财产债务,60,2,2,1,2,李敖闹衙集(2),证人
竺道生,宗教人物 / 神交引用,宗教人物,60,2,2,1,1,李敖闹衙集(2),上诉、警察
应行政,政治人物,政治人物,57,1,1,1,1,李敖闹衙集(1),院长、秘书
时值陈,军事人物,军事人物,57,1,1,1,1,李敖闹衙集(1),上校
符合蒋,政治人物,政治人物,57,1,1,1,1,李敖闹衙集(1),同仁、院长
连战,政治人物 / 公职人员 / 选举助选 / 公共论战,政治人物,57,1,1,1,1,李敖闹衙集(1),出版社、出版、部长、台独
于文到,财产债务,财产债务,56,1,1,1,1,李敖闹衙集(1),房地、土地、支票、权状
向监察,政治人物,政治人物,55,1,1,1,1,李敖闹衙集(1),院长、法院、部长、市长
蒙垂听,财产信托,财产信托,55,1,1,1,1,李敖闹衙集(1),土地、权状、上校
于工作,学术行政,学术行政,54,1,1,1,1,李敖闹衙集(1),见、院长
台端公,政治人物,政治人物,54,1,1,1,1,李敖闹衙集(1),法院、部长、市长
司长,政治人物,政治人物,54,1,1,1,1,李敖闹衙集(1),法院、部长、立委
明示土,财产债务,财产债务,54,1,1,1,1,李敖闹衙集(1),土地
朱汇森,学术行政 / 政治人物 / 公共论战 / 历史类比引用,学术行政,54,1,1,1,1,李敖闹衙集(1),写信、出版社、出版、部长
